WindSpeed_m/s,Power_Watts,ThrustCoefficient,RotorSpeed_rev/min
0.01,0,0,0
0.49,0,0,0
0.5,14087,0.766,2.671
0.6,24342,0.7663,3.208
0.7,38654,0.7663,3.743
0.8,57699,0.7664,4.279
0.9,82153,0.7666,4.816
1,11264,0.7661,5.343
1.1,14995,0.7662,5.879
1.2,19474,0.7663,6.416
1.3,24756,0.7663,6.951
1.4,30929,0.7664,7.487
1.5,38038,0.7664,8.023
1.6,46158,0.7665,8.559
1.7,55362,0.7663,9.088
1.8,65645,0.75,9.199
1.9,76732,0.728,9.199
2,84689,0.6269,9.199
2.1,84096,0.4904,9.2
2.2,83617,0.4066,9.2
2.3,83141,0.3449,9.2
2.4,83067,0.2985,9.2
2.5,82994,0.261,9.199
2.6,81895,0.2274,9.2
2.7,82800,0.2044,9.199
2.8,81506,0.1802,9.2
2.9,82849,0.1646,9.2
3,82003,0.1475,9.199
9.99,82003,0.1475,9.199
10,0,0,0
